# SIMULATION -- pending lab co-location data; see docs/results.md
g_w_m2,wind_m_s,variant_id,variant_name,delta_t_degc,rh_err_pct
0,0.0,V0,Baseline closed box,-4.0282,13.2404
0,0.0,V1,Passive multi-plate shield,-0.0117,0.0337
0,0.0,V2,Actively aspirated reference,-0.0048,0.0139
0,0.0,V0P,Painted closed-box control,-4.0282,13.2404
0,0.5,V0,Baseline closed box,-3.3827,10.8753
0,0.5,V1,Passive multi-plate shield,-0.0096,0.0276
0,0.5,V2,Actively aspirated reference,-0.0048,0.0139
0,0.5,V0P,Painted closed-box control,-3.3827,10.8753
0,1.0,V0,Baseline closed box,-2.9165,9.2290
0,1.0,V1,Passive multi-plate shield,-0.0081,0.0234
0,1.0,V2,Actively aspirated reference,-0.0048,0.0139
0,1.0,V0P,Painted closed-box control,-2.9165,9.2290
0,2.0,V0,Baseline closed box,-2.2873,7.0861
0,2.0,V1,Passive multi-plate shield,-0.0062,0.0179
0,2.0,V2,Actively aspirated reference,-0.0048,0.0139
0,2.0,V0P,Painted closed-box control,-2.2873,7.0861
0,5.0,V0,Baseline closed box,-1.3899,4.1789
0,5.0,V1,Passive multi-plate shield,-0.0037,0.0105
0,5.0,V2,Actively aspirated reference,-0.0048,0.0139
0,5.0,V0P,Painted closed-box control,-1.3899,4.1789
